,title,
,Up,
,Trumpets,
,Runnin' (Lose It All),
,Same Old Love,
,I Want You To Know,
,Lips Are Movin,
,I'll Show You,
,Here,
,I Lived,
,Fireball (feat. John Ryan),
,Easy Love,
,The Feeling,
,I Really Like You,
,BO$$,
,Sugar,
,Focus,
,All About That Bass,
,On My Mind,
,Love Me Like You,
,Broken Arrows,
,Booty,
,What Do You Mean? - Acoustic,
,Mark My Words,
,Lay It All on Me,
,American Oxygen,
,Bang Bang,
,Reality - Radio Edit,
,Alive,
,Sugar (feat. Francesco Yates),
,Been You,
,Prayer in C - Robin Schulz Radio Edit,
,See You Again (feat. Charlie Puth),
,Heroes (we could be),
,"Feel The Light - From The ""Home"" Soundtrack",
,Perfect,
,Ghosttown,
,Bang My Head (feat. Sia & Fetty Wap),
,Bloodstream,
,Living For Love,
,Baby Don't Lie,
,Don't Be so Hard on Yourself,
,Steal My Girl,
,"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",
,We Are Here,
,St Jude,
,Yesterday (feat. Bebe Rexha),
,Time of Our Lives,
,Sparks,
,Mr. Put It Down,
,Legendary Lovers,
,Spark The Fire,
,Run Run Run,
,Let Me Be Your Lover,
,Dangerous,
,L.A.LOVE (la la),
,The Hills,
,Love Yourself,
,Cake By The Ocean,
,Don't Let Me Down,
,In the Name of Love,
,Into You,
,This Is What You Came For,
,Million Reasons,
,Needed Me,
,7 Years,
,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",
,Work from Home (feat. Ty Dolla $ign),
,Scars To Your Beautiful,
,Like I'm Gonna Lose You (feat. John Legend),
,Work,
,Stitches,
,"Me, Myself & I",
,I Took A Pill In Ibiza - Seeb Remix,
,Dangerous Woman,
,Starving,
,Shout Out to My Ex,
,Electric Love,
,Confident,
,Too Good,
,Roses,
,Cold Water (feat. Justin Bieber & M�),
,Me Too,
,Light It Up (feat. Nyla & Fuse ODG) [Remix],
,Ain't Your Mama,
,Close,
,Toothbrush,
,All We Know,
,Final Song,
,Company,
,Hands To Myself,
,All I Ask,
,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",
,NO,
,Kill Em With Kindness,
,Cool Girl,
,Runnin' (Lose It All),
,Here,
,Perfect Illusion,
,PILLOWTALK,
,Out Of The Woods,
,Rise,
,Wherever I Go,
,Body Say,
,Don't Be A Fool,
,LIKE I WOULD,
,Cheap Thrills,
,I Got You,
,Run Away With Me,
,Cruel (feat. ZAYN),
,Send My Love (To Your New Lover),
,WTF (Where They From),
,Desire,
,When We Were Young,
,I Know What You Did Last Summer,
,Wish That You Were Here - From �Miss Peregrine�s Home for Peculiar Children� Original Motion Picture,
,Hurts,
,Change,
,Make Me... (feat. G-Eazy),
,Keeping Your Head Up,
,True Colors,
,Make Me Like You,
,Champagne Problems,
,Blown,
,Start,
,Pep Rally,
,Higher,
,Invitation,
,One Call Away (feat. Tyga) - Remix,
,Beautiful Birds (feat. Birdy),
,Little Lies,
,Do You Wanna Come Over?,
,BURNITUP!,
,Picky - Remix,
,Behind Your Back,
,Million Years Ago,
,Shape of You,
,Closer,
,Starboy,
,Treat You Better,
,That's What I Like,
,Let Me Love You,
,I Feel It Coming,
,Mercy,
,Side To Side,
,Stay,
,It Ain't Me (with Selena Gomez),
,Malibu,
,Something Just Like This,
,Rockabye (feat. Sean Paul & Anne-Marie),
,I Don�t Wanna Live Forever (Fifty Shades Darker),
,My Way,
,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",
,Praying,
,Despacito - Remix,
,The Greatest,
,There for You,
,Paris,
,Crying in the Club,
,Mama,
,Slide (feat. Frank Ocean & Migos),
,Swish Swish,
,Chained To The Rhythm,
,Cold (feat. Future),
,Love,
,Reggaet�n Lento (Remix),
,All I Ask,
,First Time,
,The Cure,
,"How Far I'll Go - From ""Moana""",
,Bodak Yellow,
,Rich Love (with Seeb),
,Tired,
,Came Here for Love,
,24K Magic,
,Strip That Down (feat. Quavo),
,Cut To The Feeling,
,OK - Spotify Version,
,Bon app�tit,
,Summer Bummer (feat. A$AP Rocky & Playboi Carti),
,Get Low (with Liam Payne),
,Kissing Strangers,
,Slow Hands,
,Younger Now,
,Body Moves,
,Reality (feat. Janieck Devy) - Radio Edit,
,Angel,
,Touch (feat. Kid Ink),
,We Don't Talk Anymore - DROELOE Remix,
,Love Incredible (feat. Camila Cabello),
